lemma	def
Αἰήτης	Aeetes, son of Helius and Perse
Αἰαίη	Aeaea, island of Circe
Αἰακίδης	son of Aeacus
Αἰακός	son of Zeus and Aegina, grandfather of Achilles
Αἰγίλιψ	Aegilips, a district, or island, under the rule of Odysseus
Αἰγαί	town in Achaea, seat of worship of Poseidon
Αἰγαίων	Aegaeon
Αἰγεΐδης	son of Aegeus
Αἰγιάλεια	Aegialea, daughter of Adrastus, wife of Diomed
Αἰγιαλός	Aegialus
Αἰθίοψ	burnt-face
Αἰνείας	Aeneas
Αἰνιάν	Aenianes, a Thessalian tribe
Αἰολίδης	son of Aeolus
Αἰολίη	the Aeolian isle, residence of Aeolus
Αἰολίων	son of Aeolus
Αἰπύ	Aepy, a city of Elis , subject to Nestor
Αἰπύτιος	of Aepytus
Αἰσυήτης	Aesyetes
Αἱμονίδης	son of Haemon, Maeon, from Thebes
Αἴας	Ajax
Αἴγινα	Aegina
Αἴγιον	Aegion, town in Achaea
Αἴγισθος	Aegisthus
Αἴγυπτος	Egypt (f.); king Aegyptus (m.)
Αἴθη	name of a mare, Sorrel (Fire-bug)
Αἴθιξ	a tribe dwelling near Mt. Pindus
Αἴθρα	Aethra, daughter of Pittheus and mother of Theseus
Αἴθων	Aethon
Αἴνιος	a Paeonian, slain by Achilles
Αἴολος	Aeolus
Αἴπεια	town on the Messenian gulf
Αἴσηπος	son of Abarbarea and Bucolion; name of a river
Αἴσυμνος	a Greek, slain by Hector
Αἴσων	Aeson
Αἵμων	Haemon
Αὐγείας	king in Elis, known from the cleansing of his stables by Heracles
Αὐγειαί	a town in Laconia; town in Locris
Αὐγηϊάδης	son of Augeas
Αὐλίς	Aulis, a town in Boeotia, on the Euripus
Αὐτοκάνης	Autocanes
Αὐτομέδων	Automedon
Αὐτονόη	Autonoe
Αὐτόλυκος	father of Anticlea, grandfather of Odysseus
Αὐτόνοος	Autonous
Αὐτόφονος	father of Polyphontes, of Thebes
Βίας	Bias
Βαθυκλέης	Bathycles
Βαλίος	Balius, horse of Achilles
Βατίεια	Batiea, name of a height on the plain of Troy
Βελλεροφόντης	Bellerophon
Βιάνωρ	Bianor
Βοάγριος	Boagrius, river in Locris
Βοίβη	Boebe, village in Pelasgiotis (Thessaly)
Βοηθοΐδης	son of Boethous
Βοιβηΐς	of Boebe
Βοιωτός	a Boeotian
Βορέας	North wind
Βουκολίδης	son of Bucolus , Sphelus
Βουκολίων	Bucolion, son of Laomedon
Βουπράσιος	Buprasium, town of Elis
Βούδειον	Budeium, town of Thessaly
Βοώτης	Bootes, the ploughman
Βριάρεως	Aegaeon
Βρισεύς	priest in Lyrnessus, the father of Briseïs; title of Dionysus at Smyrna
Βρισηΐς	Briseïs
Βρυσειαί	Bryseae, town in Laconia
Βῆσσα	Bessa, town in Locris
Βῶρος	Borus
Γάργαρον	Gargarum, south peak of mount Ida in the Troad
Γίγας	the Giants
Γαλάτεια	Galatea
Γαλαξαύρη	Galaxaura
Γανυμήδης	Ganymede
Γερήνιος	from Gerena
Γεραιστός	Geraestus
Γλαφύραι	Glaphyrae
Γλαύκη	Glauce
Γλαῦκος	Glaucus
Γονόεσσα	Gonussa
Γοργυθίων	Gorgythion
Γοργώ	the Gorgon
Γουνεύς	Guneus
Γρήνικος	Granicus
Γραῖα	Graea, a town in Boeotia
Γυγαίη	Gygaea
Γυραί	the Gyraean rocks
Γυρτιάδης	Gyrtiades, son of Gyrtius
Γυρτώνη	Gyrtone
Γόρτυς	Gortys
Δάμασος	Damasus
Δάρδανος	Dardanus
Δάρης	Dares
Δίη	Dia
Δίον	Dion
Δαίδαλος	Daedalus
Δαίτωρ	Daetor, a Trojan
Δαμαστορίδης	Damastorides
Δανάη	Danaë, daughter of Acrisius, and mother of Perseus
Δαναός	king of Argos, father of fifty daughters
Δαρδανία	Troy
Δαρδανίδης	a son
Δαρδανίς	a Trojan woman
Δαρδανίων	Dardanian, Trojan
Δαυλίς	Daulis
Δεισήνωρ	Deisenor
Δελφίνιος	festival of Apollo D.
Δελφοί	Delphi; Delphians
Δεξαμένη	Dexamene
Δεξιάδης	Dexiades
Δευκαλίδης	Deucalides
Δευκαλίων	Deucalion
Δεῖμος	Deimus
Δηΐοχος	Deiochus
Δηΐπυλος	Deipylus
Δηΐπυρος	Deipyrus
Δηΐφοβος	Deiphobus
Δηλιάς	a Delian woman
Δημήτηρ	Demeter
Δημοκόων	Democoon
Δημολέων	Demoleon
Δημοπτόλεμος	Demoptolemus
Δημοφῶν	Demophon
Δημοῦχος	Demuchus
Δημόδοκος	Demodocus
Δημώ	Demo
Δηϊκόων	Deicoon
Δηϊοπίτης	Deiopites
Δηώ	Demeter
Διοκλέης	Diocles
Διομήδη	Diomede
Διομήδης	Diomede
Διόνυσος	Dionysus
Διώνη	Dione
Διώρης	Diores
Δμήτωρ	Dmetor
Δολίος	Dolius
Δολοπίων	Dolopion
Δουλίχιον	Dulichium
Δουλιχιεύς	inhabitant of Dulichium
Δράκανον	Dracanum
Δρακίος	Dracius
Δρύας	Dryas
Δρύοψ	Dryops
Δρῆσος	Dresus, a Trojan
Δυναμένη	Dynamene, a Nereid
Δωδώνη	Dodona
Δωρίς	Dorian
Δωριεύς	a Dorian, descendant of Dorus
Δωσώ	Doso
Δωτώ	Giver (a Nereid)
Δόλιχος	Dolichus
Δόλοψ	Dolops
Δόλων	Dolon
Δόρυκλος	Doryclus
Δύμας	Dymas
Δύμη	Dyme
Δύσπαρις	unhappy Paris, ill-starred Paris
Δώριον	Dorium, a town subject to Nestor
Δώτιον	Dotium
Δῆλος	Delos
Εἰδοθέη	Eidothea, sea goddess daughter of Proteus
Εἰλέσιον	Eilesium, town in Boeotia
Εἰλείθυια	the readycomer
Εἰραφιώτης	epithet of Bacchus
Εἰρεσίαι	Eiresiae
Εὐάνθης	Euanthes
Εὐαίμων	Euaemon
Εὐαιμονίδης	Euaemonides
Εὐηνίνη	daughter of Evenus
Εὐηνορίδης	son of Evenor
Εὐηνός	Euenus
Εὐμήδης	Eumedes
Εὐπείθης	Eupeithes
Εὐρυάδης	Euryades
Εὐρυβάτης	Eurybates
Εὐρυδάμας	Eurydamas
Εὐρυδίκη	Eurydice
Εὐρυμέδουσα	Eurymedusa
Εὐρυμέδων	Eurymedon
Εὐρυμίδης	Eurymides
Εὐρυνόμη	Eurynome
Εὐρυσθεύς	Eurystheus
Εὐρυτίδης	son of Eurytus
Εὐρυτίων	Eurytion, a centaur; an Argonaut
Εὐρυφάεσσα	Far-shining
Εὐρύαλος	Euryalus
Εὐρύκλεια	Euryclea
Εὐρύλοχος	Eurylochus
Εὐρύμαχος	Eurymachus
Εὐρύνομος	Eurynomus
Εὐρύπυλος	Eurypylus
Εὐρώπη	Europa, Europe
Εὐφήτης	Euphetes
Εὐχήνωρ	Euchenor
Εὔβοια	Euboea
Εὔδωρος	Eudorus
Εὔιππος	Evippus
Εὔμαιος	Eumaeus
Εὔμηλος	Eumelus
Εὔμολπος	Eumolpus
Εὔνηος	Euneus
Εὔριπος	a place where the flux and reflux is strong
Εὔρυτος	Eurytus
Εὔτρησις	Eutresis, village in Boeotia
Εὔφημος	Euphemus
Εὔφορβος	Euphorbus
Εὖρος	the East wind
Ζάκυνθος	Zacynthus
Ζέλεια	Zelea
Ζέφυρος	Zephyrus, the west wind
Ζεφυρίη	Zephyrus, the west wind
